text,label
"Federal Reserve hints at potential interest rate cuts by Q4, sparking market rally.",positive
"Tech giant reports quarterly earnings miss, shares plummet 5% in after-hours trading.",negative
"New regulatory framework for crypto assets announced, bringing clarity to institutional investors.",positive
"Retail sales figures come in lower than expected, raising concerns about consumer spending.",negative
Global oil prices stabilize as supply chain disruptions ease in Southeast Asia.,positive
Major bank faces investigation over alleged money laundering failures.,negative
AI-driven productivity gains expected to boost corporate margins across the S&P 500.,positive
"Inflation remains stubbornly high, putting pressure on central banks to maintain tight policy.",negative
Emerging markets show resilience despite global economic headwinds.,positive
Cybersecurity breach at leading insurance firm exposes millions of customer records.,negative
Green energy stocks surge as government unveils massive subsidies for hydrogen power.,positive
"Corporate debt levels reach historic highs, increasing default risks in a high-rate environment.",negative
Consumer confidence index hits two-year high as employment numbers stay strong.,positive
Trade tensions between major economies threaten to disrupt semiconductor supply chains.,negative
Luxury goods sector reports record growth driven by demand in Asian markets.,positive
